sampleid	Study	Link	Host	Phylum	Class	Order	Family	Genus	Species	Diet	16S 515F-806R	Elevation	Latitude	Longitude	Year_Collected	Year_Given	Precipitation	Temp_Min	Temp_Max	Temp_Mean	Rel_Hum	Sun_Shine	Wind	ETo	Land_Water_Air	AquaStat_Link	Climate_Notes	Included	ExclusionReason	Captivity	GMTOL_Notes	16S515F-806R	initials
vasco1	Vasco_et_al_2022	https://animalmicrobiome.biomedcentral.com/articles/10.1186/s42523-022-00218-4	Marine Iguana	Chordata	Reptilia	Squamata	Iguanidae	Amblyrhynchus	Amblyrhynchus_Cristatus	Herbivore	V4	525	-0.4124	-91.4821	2018		31.66666667	18.9	29.1	24.39166667	54.325	21244649.33	1.758333333	132	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=-0.4123801&lon=-91.4821482&year=2018&datasource=agera5						V4	NS
vasco2	Vasco_et_al_2022	https://animalmicrobiome.biomedcentral.com/articles/10.1186/s42523-022-00218-4	Marine Iguana	Chordata	Reptilia	Squamata	Iguanidae	Amblyrhynchus	Amblyrhynchus_Cristatus	Herbivore	V4	525	-0.4124	-91.4821	2018		31.66666667	18.9	29.1	24.39166667	54.325	21244649.33	1.758333333	132	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=-0.4123801&lon=-91.4821482&year=2018&datasource=agera5						V4	NS
vasco3	Vasco_et_al_2022	https://animalmicrobiome.biomedcentral.com/articles/10.1186/s42523-022-00218-4	Marine Iguana	Chordata	Reptilia	Squamata	Iguanidae	Amblyrhynchus	Amblyrhynchus_Cristatus	Herbivore	V4	525	-0.4124	-91.4821	2018		31.66666667	18.9	29.1	24.39166667	54.325	21244649.33	1.758333333	132	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=-0.4123801&lon=-91.4821482&year=2018&datasource=agera5						V4	NS
vasco4	Vasco_et_al_2022	https://animalmicrobiome.biomedcentral.com/articles/10.1186/s42523-022-00218-4	Marine Iguana	Chordata	Reptilia	Squamata	Iguanidae	Amblyrhynchus	Amblyrhynchus_Cristatus	Herbivore	V4	525	-0.4124	-91.4821	2018		31.66666667	18.9	29.1	24.39166667	54.325	21244649.33	1.758333333	132	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=-0.4123801&lon=-91.4821482&year=2018&datasource=agera5						V4	NS
vasco5	Vasco_et_al_2022	https://animalmicrobiome.biomedcentral.com/articles/10.1186/s42523-022-00218-4	Marine Iguana	Chordata	Reptilia	Squamata	Iguanidae	Amblyrhynchus	Amblyrhynchus_Cristatus	Herbivore	V4	525	-0.4124	-91.4821	2018		31.66666667	18.9	29.1	24.39166667	54.325	21244649.33	1.758333333	132	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=-0.4123801&lon=-91.4821482&year=2018&datasource=agera5						V4	NS
Mathai1	Mathai_et_al_2021	https://doi.org/10.3389/fmicb.2021.706683	Sea Lamprey	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	V4	187	45.5539	-84.1366	2019		109.75	-11.8	24	5.825	66.925	13379780.58	4.291666667	61.5	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=45.54074781208624&lon=-84.13490303881478&year=2019&datasource=agera5						V4	DW
Mathai2	Mathai_et_al_2021	https://doi.org/10.3389/fmicb.2021.706683	Sea Lamprey	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	V4	187	45.5539	-84.1366	2019		109.75	-11.8	24	5.825	66.925	13379780.58	4.291666667	61.5	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=45.54074781208624&lon=-84.13490303881478&year=2019&datasource=agera5						V4	DW
Mathai3	Mathai_et_al_2021	https://doi.org/10.3389/fmicb.2021.706683	Sea Lamprey	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	V4	187	45.5539	-84.1366	2019		109.75	-11.8	24	5.825	66.925	13379780.58	4.291666667	61.5	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=45.54074781208624&lon=-84.13490303881478&year=2019&datasource=agera5						V4	DW
Mathai4	Mathai_et_al_2021	https://doi.org/10.3389/fmicb.2021.706683	Sea Lamprey	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	V4	187	45.5539	-84.1366	2019		109.75	-11.8	24	5.825	66.925	13379780.58	4.291666667	61.5	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=45.54074781208624&lon=-84.13490303881478&year=2019&datasource=agera5						V4	DW
Mathai5	Mathai_et_al_2021	https://doi.org/10.3389/fmicb.2021.706683	Sea Lamprey	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	V4	187	45.5539	-84.1366	2019		109.75	-11.8	24	5.825	66.925	13379780.58	4.291666667	61.5	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=45.54074781208624&lon=-84.13490303881478&year=2019&datasource=agera5						V4	DW
